Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-03-08 16:56:17,false,"New York Running","7.44","959","01:15:57","138","147","4.2","163","169","10:13","7:27","427","476","0.97","9.0","8.7","282","10:06","327","0.0","317","569","--","--","--","12,402","--","--","-16","No","01:15:57","1","--","--","--","01:15:56","01:16:00","-38","73"
Running,2026-03-07 17:01:41,false,"New York - Fartlek 100","3.70","479","00:35:03","148","172","3.9","165","200","9:28","5:23","449","522","1.01","8.7","8.7","273","9:06","408","0.0","361","879","--","--","--","5,792","--","--","-9","No","00:00:25.0","23","--","--","--","00:34:54","00:35:03","-52","98"
Running,2026-03-06 16:28:17,false,"New York Running","7.52","983","01:16:33","139","147","4.3","164","171","10:11","7:08","397","390","0.97","9.0","8.7","281","10:00","332","0.0","323","507","--","--","--","12,534","--","--","-21","No","01:16:33","1","--","--","--","01:16:32","01:16:36","-77","115"
Strength Training,2026-03-04 12:23:21,false,"Strength","0.00","128","00:44:24","72","101","0.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","212","106","9","-4","No","00:44:24","1","--","--","--","00:25:29","00:44:24","--","--"
Strength Training,2026-03-03 19:45:04,false,"Strength","0.00","190","00:33:38","93","138","1.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","224","112","6","-2","No","00:33:38","1","--","--","--","00:25:44","00:33:38","--","--"
Strength Training,2026-03-01 19:00:07,false,"Strength","0.00","194","00:34:08","93","149","1.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","252","126","6","-3","No","00:34:08","1","--","--","--","00:25:56","00:34:08","--","--"
Running,2026-02-28 11:36:10,false,"New York Running","8.39","1,127","01:26:53","143","157","4.7","164","171","10:21","6:42","1,184","1,119","0.96","9.0","8.6","281","9:36","359","0.0","336","786","--","--","--","14,244","--","--","-23","No","01:26:53","1","--","--","--","01:26:46","01:28:13","-18","177"
Strength Training,2026-02-27 19:28:32,false,"Strength","0.00","231","00:34:49","100","148","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","218","109","6","-4","No","00:34:49","1","--","--","--","00:26:41","00:34:49","--","--"
Strength Training,2026-02-25 12:08:29,false,"Strength","0.00","373","01:26:01","86","138","1.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","366","183","18","--","No","01:26:01","1","--","--","--","01:01:17","01:26:01","--","--"
Strength Training,2026-02-24 19:03:01,false,"Strength","0.00","228","00:34:58","99","146","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","252","126","6","--","No","00:34:58","1","--","--","--","00:25:40","00:34:58","--","--"
Running,2026-02-22 10:52:18,false,"New York Running","7.47","982","01:17:00","139","148","4.2","167","174","10:19","7:36","295","256","0.94","9.0","8.5","278","10:14","320","0.0","316","436","--","--","--","12,830","--","--","-21","No","01:17:00","1","--","--","--","01:16:59","01:17:00","-121","52"
Running,2026-02-21 15:17:30,false,"New York Running","7.45","959","01:16:19","134","141","4.0","164","171","10:15","6:33","522","505","0.97","9.0","8.6","281","10:01","338","0.0","327","548","--","--","--","12,524","--","--","-19","No","01:16:19","1","--","--","--","01:16:17","01:16:49","-75","53"
Strength Training,2026-02-20 18:50:01,false,"Strength","0.00","223","00:32:57","99","156","2.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","224","112","6","-4","No","00:32:57","1","--","--","--","00:24:49","00:32:57","--","--"
Strength Training,2026-02-18 12:06:37,false,"Strength","0.00","226","01:00:21","79","127","0.4","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","288","144","17","-5","No","01:00:21","1","--","--","--","00:27:00","01:00:21","--","--"
Strength Training,2026-02-17 19:20:11,false,"Strength","0.00","189","00:32:45","98","136","1.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","210","105","6","-4","No","00:32:45","1","16","16","16","00:25:11","00:32:45","--","--"
Resort Skiing,2026-02-13 09:11:04,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","27.89","1,458","05:57:17","83","140","1.9","--","--","8.7","45.6","19,682","20,965","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-17","No","00:04:01","22","--","--","--","04:04:39","07:15:31","5,030","8,923"
Resort Skiing,2026-02-12 09:55:33,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","21.35","1,060","04:46:07","79","143","1.0","--","--","7.7","43.7","18,547","18,579","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-14","No","00:03:04","22","--","--","--","03:17:38","05:54:03","4,619","8,287"
Pool Swim,2026-02-11 18:34:42,false,"Pool Swim","275","31","00:03:48.6","105","124","0.4","--","--","1:13","0:28","--","--","--","--","--","--","--","--","0.0","--","--","114","29","34","--","--","--","--","No","00:00:00","9","--","--","--","00:03:20.6","00:10:21","--","--"
Resort Skiing,2026-02-11 10:07:09,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","20.92","900","03:55:59","80","143","1.3","--","--","9.0","47.9","17,024","17,425","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-13","No","00:04:33.0","17","--","--","--","02:57:44","05:21:26","5,196","8,186"
Resort Skiing,2026-02-10 10:10:02,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","21.82","962","04:29:05","78","134","0.8","--","--","9.1","42.6","16,834","17,133","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-13","No","00:00:14.1","24","--","--","--","03:30:36","05:39:32","4,409","7,576"
Resort Skiing,2026-02-09 10:15:55,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","20.31","1,047","04:30:39","82","150","0.9","--","--","9.3","42.9","18,120","17,559","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-16","No","00:00:02.7","20","--","--","--","03:06:11","05:48:10","5,075","7,594"
Resort Skiing,2026-02-08 10:46:41,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","18.20","877","03:20:28","85","142","1.5","--","--","9.1","48.7","12,631","14,810","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-16","No","00:06:57.4","16","--","--","--","02:23:45","04:59:29","5,222","8,041"
Running,2026-02-05 12:07:07,false,"New York - Fartlek 100","3.68","457","00:34:31","143","169","3.5","166","195","9:23","5:09","505","614","1.03","8.6","8.7","269","8:54","423","0.0","355","859","--","--","--","5,740","--","--","-9","No","00:00:25.3","23","--","--","--","00:34:22","00:34:31","-211","106"
Strength Training,2026-02-04 12:08:23,false,"Strength","0.00","194","00:58:00","77","107","0.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","336","168","19","-4","No","00:58:00","1","--","--","--","00:28:12","00:58:00","--","--"
Strength Training,2026-02-02 19:17:54,false,"Strength","0.00","220","00:36:58","95","139","1.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","230","115","6","-4","No","00:36:58","1","--","--","--","00:27:39","00:36:58","--","--"
Strength Training,2026-02-01 12:18:41,false,"Strength","0.00","210","00:36:10","94","145","1.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","236","118","6","-4","No","00:36:10","1","--","--","--","00:28:47","00:36:10","--","--"
Running,2026-01-31 11:26:14,false,"New York Running","8.38","1,065","01:25:18","138","150","4.4","166","181","10:11","6:22","492","558","0.97","8.9","8.6","276","9:54","326","0.0","320","537","--","--","--","14,212","--","--","-22","No","01:25:18","1","--","--","--","01:25:09","01:25:57","-51","153"
Strength Training,2026-01-30 19:23:01,false,"Strength","0.00","230","00:36:43","97","145","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","212","106","6","-4","No","00:36:43","1","--","--","--","00:26:34","00:36:43","--","--"
Strength Training,2026-01-28 12:08:53,false,"Strength","0.00","187","00:59:25","76","111","0.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","144","72","5","-6","No","00:59:25","1","--","--","--","00:52:09","00:59:25","--","--"
Strength Training,2026-01-26 18:41:59,false,"Strength","0.00","226","00:37:50","95","139","1.5","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","218","109","6","-4","No","00:37:50","1","--","--","--","00:29:52","00:37:50","--","--"
Running,2026-01-24 16:10:50,false,"New York Running","7.44","956","01:14:44","139","144","4.3","167","173","10:02","7:44","295","285","0.96","8.9","8.6","276","9:56","326","0.0","321","473","--","--","--","12,470","--","--","-17","No","01:14:44","1","--","--","--","01:14:44","01:14:44","-135","58"
Running,2026-01-23 12:22:22,false,"New York - Fartlek 100","3.66","460","00:34:57","143","167","3.6","167","194","9:33","5:39","394","617","1.01","8.7","8.6","272","9:15","403","0.0","351","774","--","--","--","5,802","--","--","-12","No","00:00:25.8","23","--","--","--","00:34:51","00:34:57","-281","178"
Strength Training,2026-01-22 18:55:46,false,"Strength","0.00","215","00:35:14","97","139","1.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","294","147","6","--","No","00:35:14","1","--","--","--","00:27:00","00:35:14","--","--"
Strength Training,2026-01-21 12:14:49,false,"Strength","0.00","187","00:53:47","78","108","0.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","200","100","11","-6","No","00:53:47","1","--","--","--","00:40:01","00:53:47","--","--"
Running,2026-01-19 14:18:05,false,"New York Running","7.50","968","01:16:29","137","144","3.9","165","170","10:12","8:34","423","407","0.97","8.9","8.7","280","10:02","329","0.0","323","523","--","--","--","12,584","--","--","-21","No","01:16:29","1","--","--","--","01:16:22","01:16:56","-159","57"
Strength Training,2026-01-18 12:45:31,false,"Strength","0.00","215","00:40:01","91","133","0.9","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","236","118","6","-4","No","00:40:01","1","--","--","--","00:31:47","00:40:01","--","--"
